word,reading_hiragana,meaning_ko,source_title,source_author,source_url,example_jp,example_ko,source
ろくに,ろくに,제대로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,車夫はろくに見知りもないものに大金を渡して平気でいる女の顔を今さらのようにきょときょとと見やりながら空俥を引いて立ち去った。,,public_domain:青空文庫:或る女:有島武郎
わざと,わざと,일부러,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,それを全く気づきもしないような物腰で、葉子は親しげに青年と肩を並べて、しずしずと歩きながら、車夫の届けた包み物の中には何があるかあててみろとか、横浜のように自分の心をひく町はないとか、切符を一緒にしまっておいてくれろとかいって、音楽者のようにデリケートなその指先で、わざとらしく幾度か青年の手に触れる機会を求めた。,,public_domain:青空文庫:或る女:有島武郎
わざわざ,わざわざ,일부러,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,その余の人々の中にはわざわざ葉子の部屋を訪れて来たものが数人はあったけれども、葉子はいかにも親しみをこめた別れの言葉を与えはしたが、あとまで心に残る人とては一人もいなかった。,,public_domain:青空文庫:或る女:有島武郎
一心に,いっしんに,한마음으로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はその男から離れたい一心に、手に持った手鞄と包み物とを甲板の上にほうりなげて、若者の手をやさしく振りほどこうとして見たが無益だった。,,public_domain:青空文庫:或る女:有島武郎
一部分,いちぶぶん,일부분,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,自分の財産となればなるべきものを一部分だけあてがわれて、黙って引っ込んでいる葉子ではなかった。,,public_domain:青空文庫:或る女:有島武郎
上陸,じょうりく,상륙,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,米国への上陸が禁ぜられているシナの苦力がここから上陸するのと、相当の荷役とで、船の内外は急に騒々しくなった。,,public_domain:青空文庫:或る女:有島武郎
下す,くだす,내리다,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,その胸に書かれた「中将湯」という文字を、何げなしに一字ずつ読み下すと、彼女は突然私生児の定子の事を思い出した。,,public_domain:青空文庫:或る女:有島武郎
不意,ふい,뜻밖,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,あまりの不意に細君は目を見張って顔をあげた。,,public_domain:青空文庫:或る女:有島武郎
世辞,せじ,아첨,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,が、田川夫妻が自分と反対の舷の籐椅子に腰かけて、世辞世辞しく近寄って来る同船者と何か戯談口でもきいているとひとりで決めると、安心でもしたように幻想はまたかの若者にかえって行った。,,public_domain:青空文庫:或る女:有島武郎
主権,しゅけん,주권,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,倫理学者や、教育家や、家庭の主権者などもそのころから猜疑の目を見張って少女国を監視し出した。,,public_domain:青空文庫:或る女:有島武郎
久しい,ひさしい,오래되다,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,鴎が群れをなして猫に似た声でなきながら、船のまわりを水に近くのどかに飛び回るのを見るのも、葉子には絶えて久しい物珍しさだった。,,public_domain:青空文庫:或る女:有島武郎
乏しい,とぼしい,부족한,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,田川の威厳に乏しい目にも鋭い光がきらめいては消え、さらにきらめいて消えたのを見すまして、葉子は始めて田川夫人の目を迎えた。,,public_domain:青空文庫:或る女:有島武郎
乗り出す,のりだす,나서다,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,これを聞いた一座は、ことに外国人たちは、椅子から乗り出すようにして夫人を見た。,,public_domain:青空文庫:或る女:有島武郎
予想,よそう,예상,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,この短い瞬間に、今までの出来事でいいかげん乱れていた心は、身の破滅がとうとう来てしまったのだというおそろしい予想に押しひしがれて、頭は氷で巻かれたように冷たく気うとくなった。,,public_domain:青空文庫:或る女:有島武郎
予言,よげん,예언,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,内田は熱心なキリスト教の伝道者として、憎む人からは蛇蝎のように憎まれるし、好きな人からは予言者のように崇拝されている天才肌の人だった。,,public_domain:青空文庫:或る女:有島武郎
事業,じぎょう,사업,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,キリスト教婦人同盟の事業に奔走し、社会では男まさりのしっかり者という評判を取り、家内では趣味の高いそして意志の弱い良人を全く無視して振る舞ったその母の最も深い隠れた弱点を、拇指と食指との間にちゃんと押えて、一歩もひけを取らなかったのも彼女である。,,public_domain:青空文庫:或る女:有島武郎
互い,たがい,서로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子と古藤とは話の腰を折られて互いに不快な顔をしながら、手欄から下のほうをのぞいて見ると、すぐ目の下に、そのころ人の少し集まる所にはどこにでも顔を出す轟という剣舞の師匠だか撃剣の師匠だかする頑丈な男が、大きな五つ紋の黒羽織に白っぽい鰹魚縞の袴をはいて、桟橋の板を朴の木下駄で踏み鳴らしながら、ここを先途とわめいていた。,,public_domain:青空文庫:或る女:有島武郎
些細な,ささいな,사소한,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,こういうはめになった今、米国にいようが日本にいようが少しばかりの財産があろうが無かろうが、そんな事は些細な話だった。,,public_domain:青空文庫:或る女:有島武郎
